Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,304.000000,305.200012,302.380005,305.190002,305.190002,1896700
2002-01-03,305.850006,312.429993,305.850006,312.049988,312.049988,3132000
2002-01-04,316.190002,318.010010,314.299988,315.730011,315.730011,3101900
2002-01-07,318.660004,321.149994,316.829987,317.690002,317.690002,3892300
2002-01-08,315.859985,318.799988,315.059998,318.640015,318.640015,3870400
2002-01-09,320.600006,323.839996,319.239990,319.239990,319.239990,2531800
2002-01-10,318.910004,319.329987,315.570007,319.299988,319.299988,2013700
2002-01-11,319.320007,322.549988,318.100006,322.549988,322.549988,1696100
2002-01-14,321.920013,326.220001,321.529999,325.660004,325.660004,1774600
2002-01-15,325.470001,327.160004,322.940002,323.390015,323.390015,1535000
2002-01-16,324.399994,327.299988,319.549988,319.570007,319.570007,1957000
2002-01-17,317.140015,319.179993,316.420013,319.179993,319.179993,922000
2002-01-18,320.750000,321.480011,317.519989,317.519989,317.519989,927200
2002-01-21,317.559998,317.980011,314.380005,314.380005,314.380005,557700
2002-01-22,314.950012,317.940002,314.950012,317.269989,317.269989,624300
2002-01-23,318.149994,326.929993,318.149994,326.920013,326.920013,1533500
2002-01-24,330.070007,335.779999,328.829987,333.959991,333.959991,2681300
2002-01-25,336.829987,339.820007,335.109985,338.989990,338.989990,2696500
2002-01-28,339.850006,340.959991,337.489990,337.489990,337.489990,1433300
2002-01-29,338.029999,340.029999,336.130005,339.690002,339.690002,2141800
2002-01-30,338.170013,341.700012,336.799988,340.399994,340.399994,2568700
2002-01-31,343.410004,345.480011,340.720001,340.820007,340.820007,1978100
2002-02-01,342.230011,344.540009,335.450012,336.649994,336.649994,1684300
2002-02-04,336.500000,338.929993,335.140015,336.149994,336.149994,968700
2002-02-05,335.929993,343.369995,335.929993,343.369995,343.369995,1789300
2002-02-06,343.980011,348.750000,342.000000,348.170013,348.170013,1776900
2002-02-07,349.329987,350.529999,346.769989,346.769989,346.769989,2175300
2002-02-08,347.630005,355.230011,347.630005,353.589996,353.589996,2142200
2002-02-11,356.089996,358.690002,355.980011,356.940002,356.940002,1272800
2002-02-12,358.720001,359.709991,352.850006,353.690002,353.690002,1246700
2002-02-13,353.730011,361.989990,353.730011,361.989990,361.989990,1791600
2002-02-14,363.149994,366.809998,361.950012,365.299988,365.299988,2699300
2002-02-15,366.320007,375.619995,365.220001,373.019989,373.019989,3156000
2002-02-18,376.489990,380.750000,375.630005,375.630005,375.630005,3259900
2002-02-19,378.260010,380.000000,368.670013,370.190002,370.190002,3289400
2002-02-20,370.149994,376.309998,368.200012,376.309998,376.309998,2968700
2002-02-21,377.619995,377.619995,361.489990,361.489990,361.489990,2840600
2002-02-22,361.459991,362.239990,350.480011,351.320007,351.320007,2756000
2002-02-25,351.339996,357.600006,350.820007,356.649994,356.649994,1443700
2002-02-26,null,null,null,null,null,null
2002-02-27,359.369995,372.220001,359.369995,372.220001,372.220001,2306400
2002-02-28,375.579987,376.850006,370.220001,371.809998,371.809998,2710600
2002-03-01,374.820007,380.720001,374.750000,380.649994,380.649994,2497000
